count,班级,学号,学科,第一次成绩,第二次成绩,第三次成绩,第四次成绩,第五次成绩
0,901,14511,17,65.0,59.0,67.0,63.0,60.0
1,901,14511,8,0.0,78.0,69.0,75.0,
2,901,14511,7,0.0,67.0,64.0,70.0,
3,901,14511,6,70.0,71.0,82.0,68.0,68.0
4,901,14511,5,61.0,71.0,63.0,76.0,65.0
5,901,14511,4,69.0,89.0,73.0,78.0,73.0
6,901,14511,3,89.0,118.0,81.0,122.5,81.0
7,901,14511,2,73.0,95.0,68.0,113.0,88.0
8,901,14511,1,71.0,103.0,74.0,97.0,75.0
9,901,14510,17,64.0,0.0,70.0,70.0,
10,901,14510,8,0.0,0.0,83.0,77.0,
11,901,14510,7,0.0,0.0,73.0,81.0,
12,901,14510,6,0.0,0.0,73.0,70.0,
13,901,14510,5,71.0,0.0,88.0,65.0,
14,901,14510,4,94.0,0.0,83.0,76.0,
15,901,14510,3,121.5,0.0,129.0,83.0,
16,901,14510,2,101.0,0.0,124.0,81.0,
17,901,14510,1,110.0,0.0,101.0,68.0,
18,901,14508,17,72.0,73.0,63.0,63.0,66.0
19,901,14508,8,0.0,75.0,88.0,77.0,
20,901,14508,7,0.0,59.0,67.0,78.0,
21,901,14508,6,77.0,73.0,93.0,88.0,65.0
22,901,14508,5,66.0,67.0,68.0,89.0,91.0
23,901,14508,4,72.0,92.0,82.0,80.0,72.0
24,901,14508,3,78.0,118.0,79.0,120.5,71.0
25,901,14508,2,63.0,110.0,92.0,126.0,78.0
26,901,14508,1,71.0,109.0,67.0,89.0,70.0
27,901,14507,17,68.0,73.0,81.0,69.0,62.0
28,901,14507,8,0.0,79.0,87.0,57.0,
29,901,14507,7,0.0,79.0,77.0,78.0,
30,901,14507,6,84.0,81.0,93.0,86.0,69.0
31,901,14507,5,71.0,79.0,58.0,81.0,70.0
32,901,14507,4,80.0,82.0,78.0,79.0,63.0
33,901,14507,3,75.0,120.0,76.0,127.0,76.0
34,901,14507,2,68.0,105.0,57.0,119.0,84.0
35,901,14507,1,73.0,106.0,86.0,85.0,77.0
36,901,14506,17,78.0,86.0,78.0,80.0,77.0
37,901,14506,8,0.0,78.0,93.0,70.0,
38,901,14506,7,0.0,77.0,85.0,88.0,
39,901,14506,6,80.0,67.0,90.0,81.0,85.0
40,901,14506,5,69.0,89.0,78.0,86.0,86.0
41,901,14506,4,84.0,89.0,79.0,93.0,83.0
42,901,14506,3,84.5,119.5,84.0,129.5,84.0
43,901,14506,2,82.0,141.0,76.0,118.0,79.0
44,901,14506,1,71.0,108.0,84.0,99.0,81.0
45,901,14505,17,87.0,90.0,82.0,84.0,81.0
46,901,14505,8,0.0,95.0,91.0,88.0,
47,901,14505,7,0.0,76.0,91.0,98.0,
48,901,14505,6,95.0,89.0,99.0,92.0,94.0
49,901,14505,5,89.0,91.0,92.0,96.0,94.0
50,901,14505,4,99.0,91.0,96.0,96.0,92.0
51,901,14505,3,88.5,112.0,89.0,126.5,84.0
52,901,14505,2,87.0,141.0,85.0,135.0,81.0
53,901,14505,1,84.0,112.0,78.0,108.0,80.0
54,901,14504,17,85.0,83.0,77.0,73.0,65.0
55,901,14504,8,0.0,66.0,78.0,63.0,
56,901,14504,7,0.0,77.0,77.0,82.0,
57,901,14504,6,84.0,79.0,75.0,81.0,69.0
58,901,14504,5,60.0,73.0,77.0,83.0,80.0
59,901,14504,4,80.0,89.0,64.0,74.0,65.0
60,901,14504,3,86.5,118.5,86.0,121.5,81.0
61,901,14504,2,76.0,124.0,74.0,121.0,67.0
62,901,14504,1,69.0,88.0,79.0,96.0,69.0
63,901,14503,17,81.0,73.0,60.0,75.0,71.0
64,901,14503,8,0.0,71.0,69.0,83.0,
65,901,14503,7,0.0,56.0,61.0,69.0,
66,901,14503,6,82.0,0.0,0.0,69.0,76.0
67,901,14503,5,63.0,76.0,76.0,84.0,84.0
68,901,14503,4,90.0,93.0,85.0,93.0,82.0
69,901,14503,3,87.0,117.0,88.0,122.5,88.0
70,901,14503,2,91.0,140.0,91.0,136.0,93.0
71,901,14503,1,57.0,109.0,79.0,101.0,68.0
72,901,14502,17,76.0,78.0,74.0,73.0,76.0
73,901,14502,8,0.0,89.0,84.0,80.0,
74,901,14502,7,0.0,81.0,73.0,78.0,
75,901,14502,6,87.0,0.0,0.0,71.0,78.0
76,901,14502,5,87.0,83.0,87.0,85.0,94.0
77,901,14502,4,95.0,93.0,87.0,71.0,86.0
78,901,14502,3,80.5,126.0,86.0,123.0,82.0
79,901,14502,2,68.0,118.0,81.0,119.0,85.0
80,901,14502,1,66.0,104.0,85.0,96.0,78.0
81,901,14501,17,88.0,75.0,84.0,83.0,81.0
82,901,14501,8,0.0,90.0,91.0,89.0,
83,901,14501,7,0.0,82.0,84.0,92.0,
84,901,14501,6,93.0,72.0,87.0,90.0,79.0
85,901,14501,5,85.0,92.0,96.0,85.0,93.0
86,901,14501,4,86.0,92.0,90.0,86.0,94.0
87,901,14501,3,86.5,120.0,79.0,122.0,86.0
88,901,14501,2,77.0,137.0,89.0,117.0,83.0
89,901,14501,1,77.0,104.0,84.0,101.0,76.0
90,901,14500,17,77.0,82.0,69.0,70.0,64.0
91,901,14500,8,0.0,63.0,86.0,76.0,
92,901,14500,7,0.0,69.0,73.0,88.0,
93,901,14500,6,70.0,73.0,78.0,89.0,72.0
94,901,14500,5,73.0,84.0,86.0,81.0,76.0
95,901,14500,4,83.0,73.0,66.0,82.0,72.0
96,901,14500,3,83.0,116.5,86.0,116.0,83.0
97,901,14500,2,78.0,116.0,66.0,127.0,80.0
98,901,14500,1,71.0,105.0,72.0,101.0,83.0
99,901,14499,17,71.0,66.0,71.0,74.0,77.0
100,901,14499,8,0.0,71.0,78.0,77.0,
101,901,14499,7,0.0,73.0,69.0,78.0,
102,901,14499,6,81.0,63.0,80.0,85.0,71.0
103,901,14499,5,71.0,82.0,89.0,90.0,82.0
104,901,14499,4,81.0,87.0,65.0,93.0,86.0
105,901,14499,3,90.0,120.5,88.0,126.5,82.0
106,901,14499,2,91.0,118.0,75.0,139.0,86.0
107,901,14499,1,68.0,104.0,92.0,98.0,80.0
108,901,14498,17,95.0,86.0,91.0,74.0,66.0
109,901,14498,8,0.0,71.0,74.0,84.0,
110,901,14498,7,0.0,76.0,79.0,81.0,
111,901,14498,6,87.0,68.0,95.0,91.0,62.0
112,901,14498,5,78.0,85.0,78.0,89.0,80.0
113,901,14498,4,81.0,95.0,80.0,89.0,85.0
114,901,14498,3,88.5,124.0,87.0,126.5,91.0
115,901,14498,2,88.0,136.0,87.0,136.0,94.0
116,901,14498,1,80.0,101.0,95.0,84.0,78.0
117,901,14496,17,73.0,83.0,79.0,81.0,66.0
118,901,14496,8,0.0,84.0,86.0,71.0,
119,901,14496,7,0.0,75.0,62.0,75.0,
120,901,14496,6,80.0,0.0,79.0,74.0,68.0
121,901,14496,5,70.0,80.0,67.0,82.0,61.0
122,901,14496,4,80.0,96.0,65.0,86.0,76.0
123,901,14496,3,89.5,127.5,81.0,131.5,79.0
124,901,14496,2,86.0,119.0,80.0,113.0,79.0
125,901,14496,1,75.0,112.0,64.0,98.0,79.0
126,901,14494,17,82.0,82.0,89.0,78.0,87.0
127,901,14494,8,0.0,78.0,76.0,73.0,
128,901,14494,7,0.0,76.0,80.0,87.0,
129,901,14494,6,83.0,84.0,99.0,83.0,74.0
130,901,14494,5,65.0,78.0,77.0,87.0,87.0
131,901,14494,4,88.0,77.0,76.0,88.0,74.0
132,901,14494,3,79.5,117.5,90.0,125.0,81.0
133,901,14494,2,89.0,124.0,84.0,144.0,86.0
134,901,14494,1,72.0,112.0,83.0,108.0,78.0
135,901,14493,17,65.0,67.0,63.0,62.0,56.0
136,901,14493,8,0.0,61.0,72.0,74.0,
137,901,14493,7,0.0,63.0,61.0,78.0,
138,901,14493,6,78.0,0.0,0.0,69.0,63.0
139,901,14493,5,32.0,70.0,57.0,74.0,77.0
140,901,14493,4,66.0,81.0,83.0,82.0,82.0
141,901,14493,3,77.5,107.0,76.0,121.5,73.0
142,901,14493,2,76.0,129.0,82.0,128.0,92.0
143,901,14493,1,66.0,93.0,76.0,96.0,64.0
144,901,14492,17,86.0,83.0,79.0,74.0,73.0
145,901,14492,8,0.0,85.0,86.0,85.0,
146,901,14492,7,0.0,80.0,80.0,84.0,
147,901,14492,6,88.0,0.0,0.0,73.0,76.0
148,901,14492,5,85.0,80.0,93.0,95.0,86.0
149,901,14492,4,82.0,94.0,78.0,100.0,83.0
150,901,14492,3,90.0,124.5,84.0,130.5,79.0
151,901,14492,2,92.0,117.0,82.0,139.0,92.0
152,901,14492,1,70.0,106.0,87.0,105.0,72.0
153,901,14491,17,82.0,74.0,65.0,54.0,70.0
154,901,14491,8,0.0,79.0,87.0,84.0,
155,901,14491,7,0.0,71.0,66.0,82.0,
156,901,14491,6,81.0,71.0,81.0,87.0,67.0
157,901,14491,5,66.0,83.0,85.0,73.0,87.0
158,901,14491,4,92.0,86.0,77.0,91.0,76.0
159,901,14491,3,82.5,108.5,80.0,122.5,81.0
160,901,14491,2,83.0,120.0,74.0,128.0,82.0
161,901,14491,1,67.0,103.0,80.0,98.0,67.0
162,901,14489,17,75.0,70.0,79.0,76.0,77.0
163,901,14489,8,0.0,76.0,75.0,76.0,
164,901,14489,7,0.0,71.0,74.0,84.0,
165,901,14489,6,88.0,0.0,76.0,86.0,70.0
166,901,14489,5,66.0,84.0,81.0,79.0,82.0
167,901,14489,4,72.0,89.0,77.0,86.0,75.0
168,901,14489,3,80.0,122.0,88.0,126.0,84.0
169,901,14489,2,90.0,118.0,77.0,129.0,67.0
170,901,14489,1,74.0,112.0,82.0,101.0,78.0
171,901,14488,17,69.0,82.0,77.0,64.0,60.0
172,901,14488,8,0.0,74.0,72.0,68.0,
173,901,14488,7,0.0,65.0,69.0,62.0,
174,901,14488,6,85.0,73.0,87.0,85.0,64.0
175,901,14488,5,64.0,89.0,85.0,87.0,87.0
176,901,14488,4,75.0,84.0,87.0,86.0,81.0
177,901,14488,3,82.0,118.5,88.0,119.5,77.0
178,901,14488,2,85.0,141.0,95.0,141.0,87.0
179,901,14488,1,62.0,110.0,86.0,97.0,73.0
180,901,14486,17,73.0,76.0,82.0,62.0,69.0
181,901,14486,8,0.0,81.0,80.0,78.0,
182,901,14486,7,0.0,77.0,75.0,89.0,
183,901,14486,6,84.0,76.0,88.0,81.0,70.0
184,901,14486,5,70.0,90.0,81.0,91.0,89.0
185,901,14486,4,90.0,94.0,89.0,95.0,91.0
186,901,14486,3,88.5,119.5,86.0,122.5,84.0
