count,班级,学号,学科,第一次成绩,第二次成绩,第三次成绩,第四次成绩,第五次成绩
0,901,14511,17,65,59,67,63,60
1,901,14511,8,67,78,69,75,60
2,901,14511,7,67,67,64,70,71
3,901,14511,6,70,71,82,68,68
4,901,14511,5,61,71,63,76,65
5,901,14511,4,69,89,73,78,73
6,901,14511,3,89,118,81,122.5,81
7,901,14511,2,73,95,68,113,88
8,901,14511,1,71,103,74,97,75
9,901,14510,17,64,64,70,70,71
10,901,14510,8,67,67,83,77,71
11,901,14510,7,67,67,73,81,71
12,901,14510,6,67,67,73,70,71
13,901,14510,5,71,71,88,65,71
14,901,14510,4,94,94,83,76,71
15,901,14510,3,121.5,121.5,129,100,110
16,901,14510,2,101,101,124,81,71
17,901,14510,1,110,110,101,68,100
18,901,14508,17,72,73,63,63,66
19,901,14508,8,67,75,88,77,71
20,901,14508,7,67,59,67,78,71
21,901,14508,6,77,73,93,88,65
22,901,14508,5,66,67,68,89,91
23,901,14508,4,72,92,82,80,72
24,901,14508,3,78,118,79,120.5,71
25,901,14508,2,63,110,92,126,78
26,901,14508,1,71,109,67,89,70
27,901,14507,17,68,73,81,69,62
28,901,14507,8,67,79,87,57,71
29,901,14507,7,67,79,77,78,71
30,901,14507,6,84,81,93,86,69
31,901,14507,5,71,79,58,81,70
32,901,14507,4,80,82,78,79,63
33,901,14507,3,75,120,76,127,76
34,901,14507,2,68,105,57,119,84
35,901,14507,1,73,106,86,85,77
36,901,14506,17,78,86,78,80,77
37,901,14506,8,67,78,93,70,71
38,901,14506,7,67,77,85,88,71
39,901,14506,6,80,67,90,81,85
40,901,14506,5,69,89,78,86,86
41,901,14506,4,84,89,79,93,83
42,901,14506,3,84.5,119.5,84,129.5,84
43,901,14506,2,82,141,76,118,79
44,901,14506,1,71,108,84,99,81
45,901,14505,17,87,90,82,84,81
46,901,14505,8,67,95,91,88,71
47,901,14505,7,67,76,91,98,71
48,901,14505,6,95,89,99,92,94
49,901,14505,5,89,91,92,96,94
50,901,14505,4,99,91,96,96,92
51,901,14505,3,88.5,112,89,126.5,84
52,901,14505,2,87,141,85,135,81
53,901,14505,1,84,112,78,108,80
54,901,14504,17,85,83,77,73,65
